model,class,accuracy,precision,recall,f1-score,support
Logistic Regression,anger,0.9377104377104377,0.9348370927318296,0.9325,0.9336670838548186,400.0
Logistic Regression,fear,0.9377104377104377,0.9396325459317585,0.9226804123711341,0.9310793237971391,388.0
Logistic Regression,joy,0.9377104377104377,0.9387254901960784,0.9575,0.948019801980198,400.0
Logistic Regression,macro avg,0.9377104377104377,0.9377317096198888,0.9375601374570447,0.937588736544052,1188.0
Logistic Regression,weighted avg,0.9377104377104377,0.9377125092531022,0.9377104377104377,0.9376544881879602,1188.0
Linear SVM,anger,0.936026936026936,0.9292929292929293,0.92,0.9246231155778895,400.0
Linear SVM,fear,0.936026936026936,0.9305912596401028,0.9329896907216495,0.9317889317889317,388.0
Linear SVM,joy,0.936026936026936,0.9478908188585607,0.955,0.9514321295143213,400.0
Linear SVM,macro avg,0.936026936026936,0.9359250025971976,0.9359965635738833,0.9359480589603809,1188.0
Linear SVM,weighted avg,0.936026936026936,0.9359788787886834,0.936026936026936,0.935990070345951,1188.0
Naive Bayes,anger,0.9208754208754208,0.9019607843137255,0.92,0.9108910891089109,400.0
Naive Bayes,fear,0.9208754208754208,0.9037974683544304,0.9201030927835051,0.9118773946360154,388.0
Naive Bayes,joy,0.9208754208754208,0.9584415584415584,0.9225,0.9401273885350319,400.0
Naive Bayes,macro avg,0.9208754208754208,0.9213999370365714,0.9208676975945017,0.920965290759986,1188.0
Naive Bayes,weighted avg,0.9208754208754208,0.9215777397505325,0.9208754208754208,0.9210570876905311,1188.0
Random Forest,anger,0.9284511784511784,0.935064935064935,0.9,0.9171974522292994,400.0
Random Forest,fear,0.9284511784511784,0.9187817258883249,0.9329896907216495,0.9258312020460358,388.0
Random Forest,joy,0.9284511784511784,0.9315403422982885,0.9525,0.9419035846724351,400.0
Random Forest,macro avg,0.9284511784511784,0.9284623344171828,0.9284965635738832,0.9283107463159235,1188.0
Random Forest,weighted avg,0.9284511784511784,0.9285601183417167,0.9284511784511784,0.9283357922176396,1188.0
XGBoost,anger,0.92003367003367,0.9093198992443325,0.9025,0.9058971141781681,400.0
XGBoost,fear,0.92003367003367,0.9190600522193212,0.9072164948453608,0.9130998702983139,388.0
XGBoost,joy,0.92003367003367,0.9313725490196079,0.95,0.9405940594059405,400.0
XGBoost,macro avg,0.92003367003367,0.9199175001610872,0.9199054982817869,0.9198636812941409,1188.0
XGBoost,weighted avg,0.92003367003367,0.9199261612514079,0.92003367003367,0.919932002617331,1188.0
