,Comment,Emotion,Comment_clean
0,i seriously hate one subject to death but now i feel reluctant to drop it,fear,i seriously hate one subject to death but now i feel reluctant to drop it
1,im so full of life i feel appalled,anger,i am so full of life i feel appalled
2,i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it
3,ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,i have been really angry with are and i feel like an idiot for trusting him in the first place
4,i feel suspicious if there is no one outside like the rapture has happened or something,fear,i feel suspicious if there is no one outside like the rapture has happened or something
5,i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,i feel jealous becasue i wanted that kind of love the connection between two souls and i wanted that
6,when a friend of mine keeps telling me morbid things that happened to his dog,anger,when a friend of mine keeps telling me morbid things that happened to his dog
7,i finally fell asleep feeling angry useless and still full of anxiety,anger,i finally fell asleep feeling angry useless and still full of anxiety
8,i feel a bit annoyed and antsy in a good way,anger,i feel a bit annoyed and antsy in a good way
9,i feel like i ve regained another vital part of my life which is living,joy,i feel like i have regained another vital part of my life which is living
10,i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer
11,i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,i was feeling at the start did not want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year
12,i was bitten by a dog,fear,i was bitten by a dog
13,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,i do not always find myself feeling thankful but over the years i have gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks
14,i just try not to talk to anyone when i feel irritable like that,anger,i just try not to talk to anyone when i feel irritable like that
15,i feel like they hated me since then,anger,i feel like they hated me since then
16,i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,i do not know who wrote the following little note but this is how i feel today if you are offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe
17,i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense
18,i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,i remember feeling as if i did not belong and that i was not smart enough cool enough or even young enough
19,i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it
20,i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,i hope that the next quote will be able to let my special someone knows what i am feeling insecure about and understand that no matter how much i trust
21,i feel much better and without the help of ice,joy,i feel much better and without the help of ice
22,i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt
23,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing
24,i stropped about for a bit feeling grumpy because i was missing out,anger,i stropped about for a bit feeling grumpy because i was missing out
25,i have a feeling i shall go mad,anger,i have a feeling i shall go mad
26,i am happpy when i get good results in the field of academics or athletics,joy,i am happpy when i get good results in the field of academics or athletics
27,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity
28,im feeling deeply overwhelmed by these ordinary tasks,fear,i am feeling deeply overwhelmed by these ordinary tasks
29,i feel so grouchy and irritable when im sick,anger,i feel so grouchy and irritable when i am sick
30,i feel my heart shaky all the time now,fear,i feel my heart shaky all the time now
31,i expect and i feel content with that,joy,i expect and i feel with that
32,i feel amused at the absurdity of it all,joy,i feel amused at the absurdity of it all
33,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like
34,i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,i just could not help feeling a little bit bitter towards his great big happy grin
35,i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they do not want to do anyway
36,im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,i am feeling a bit more sociable now although i do not think ill be able to express everything i want to say
37,i would feel joyful,joy,i would feel joyful
38,at a certain situation i felt myself neglected and undeservedly harmed,anger,at a certain situation i felt myself neglected and undeservedly harmed
39,i felt good and feel fine today too,joy,i felt good and feel fine today too
40,i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,i looked at what had happened to us in two generations and looked at what had not happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it
41,im feeling slightly optimistic,joy,i am feeling slightly optimistic
42,i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,i feel and some is just a hateful of hollow yes i hear many smiths these days
43,im still feeling indecisive im polling yall p,fear,i am still feeling indecisive i am polling yall p
44,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy
