model,class,accuracy,precision,recall,f1-score,support
BERT-base,anger,0.9696969696969697,0.9720812182741116,0.9575,0.964735516372796,400.0
BERT-base,fear,0.9696969696969697,0.95,0.979381443298969,0.9644670050761421,388.0
BERT-base,joy,0.9696969696969697,0.9873096446700508,0.9725,0.9798488664987406,400.0
BERT-base,macro avg,0.9696969696969697,0.9697969543147208,0.9697938144329897,0.9696837959825596,1188.0
BERT-base,weighted avg,0.9696969696969697,0.969996923550223,0.9696969696969697,0.9697364908402001,1188.0
DistilBERT,anger,0.9688552188552189,0.9817708333333334,0.9425,0.9617346938775511,400.0
DistilBERT,fear,0.9688552188552189,0.945273631840796,0.979381443298969,0.9620253164556962,388.0
DistilBERT,joy,0.9688552188552189,0.9800995024875622,0.985,0.9825436408977556,400.0
DistilBERT,macro avg,0.9688552188552189,0.9690479892205639,0.9689604810996563,0.9687678837436676,1188.0
DistilBERT,weighted avg,0.9688552188552189,0.9692881342446018,0.9688552188552189,0.9688359904839502,1188.0
RoBERTa-base,anger,0.9722222222222222,0.9695431472081218,0.955,0.9622166246851386,400.0
RoBERTa-base,fear,0.9722222222222222,0.9692307692307692,0.9742268041237113,0.9717223650385605,388.0
RoBERTa-base,joy,0.9722222222222222,0.9777227722772277,0.9875,0.9825870646766169,400.0
RoBERTa-base,macro avg,0.9722222222222222,0.9721655629053729,0.9722422680412371,0.972175351466772,1188.0
RoBERTa-base,weighted avg,0.9722222222222222,0.9721952072859246,0.9722222222222222,0.972179927087259,1188.0
ALBERT,anger,0.9663299663299664,0.9719387755102041,0.9525,0.9621212121212122,400.0
ALBERT,fear,0.9663299663299664,0.9451371571072319,0.9768041237113402,0.9607097591888466,388.0
ALBERT,joy,0.9663299663299664,0.9822784810126582,0.97,0.9761006289308176,400.0
ALBERT,macro avg,0.9663299663299664,0.9664514712100315,0.96643470790378,0.9663105334136256,1188.0
ALBERT,weighted avg,0.9663299663299664,0.9666667673120798,0.9663299663299664,0.9663671068906434,1188.0
MiniLM,anger,0.9671717171717171,0.9598997493734336,0.9575,0.9586983729662077,400.0
MiniLM,fear,0.9671717171717171,0.9567430025445293,0.9690721649484536,0.9628681177976952,388.0
MiniLM,joy,0.9671717171717171,0.9848484848484849,0.975,0.9798994974874372,400.0
MiniLM,macro avg,0.9671717171717171,0.9671637455888159,0.9671907216494846,0.9671553294171135,1188.0
MiniLM,weighted avg,0.9671717171717171,0.9672690056195664,0.9671717171717171,0.9671986345849864,1188.0
